Functional Description,Method Name
returns descriptors for all properties of the bean   ,getPropertyDescriptors
gets the method that should be used to read an indexed property value   ,getIndexedReadMethod
write the buffered fields to the stream   ,writeFields
"specifies , for jobs using these attributes , the ranges of pages to be printed , if a range of pages is to be printed   ",setPageRanges
returns the data buffer associated with this raster   ,getDataBuffer
"draws the text given by the specified string , using this graphics context ' s current font and color   ",drawString
adds the specified drag source listener to this drag source to receive drag source events during drag operations intiated with this drag source   ,addDragSourceListener
"specifies , for jobs using these attributes , the ranges of pages to be printed , if a range of pages is to be printed   ",getPageRanges
handles the mouse dragged event by invoking the mouse dragged methods on listener - a and listener - b   ,mouseDragged
sets the number of columns in this layout to the specified value   ,setColumns
tests whether the file denoted by this abstract pathname is a directory   ,isDirectory
causes every selected item in the object to be selected if the object supports multiple selections   ,selectAllAccessibleSelection
"deprecated as of jdk version 1 1 , replaced by set enabledboolean   ",disable
invoked when the user attempts to close the window from the window ' s system menu   ,windowClosing
reads from the stream in a representation of a unicode character string encoded in modified utf - 8 format ; this string of characters is then returned as a string   ,readUtf
gets the accessible context associated with this label   ,getAccessibleContext
"returns a shared instance of an awt key stroke , given a numeric key code and a set of modifiers , specifying whether the key is activated when it is pressed or released   ",getAwtkEyStroke
makes this dialog displayable by connecting it to a native screen resource   ,addNotify
"returns an array of integer pixels in the default rgb color model type int argb and default srgb color space , from a portion of the image data   ",getRgb
returns a source as a renderable image   ,getRenderableSource
"returns whether drawing at 0 , 0 to pages using these attributes draws at the upper - left corner of the physical page , or at the upper - left corner of the printable area   ",getOrigin
handles the window gained focus event by invoking the window gained focus methods on listener - a and listener - b   ,windowGainedFocus
returns the variation of the text range   ,getVariation
sets the layout manager for this container   ,setLayout
returns the descent of this image graphic attribute   ,getDescent
returns the number of items currently selected   ,getAccessibleSelectionCount
copies all of the mappings from the specified map to this rendering hints   ,putAll
removes all of the geometry from this area and restores it to an empty area   ,reset
specifies how consecutive pages should be imposed upon the sides of the print medium for jobs using these attributes   ,setSides
"horizontal lines : do items run left - to - right ? vertical lines : do lines run left - to - right ? this will return true for horizontal , left - to - right writing systems such as roman   ",isLeftToRight
"converts the float argument to an int using the float to int bits method in class float , and then writes that int value to the underlying output stream as a 4 - byte quantity , high byte first   ",writeFloat
"returns which , if any , of the mouse buttons has changed state   ",getButton
returns the preferred dimensions for this layout given the visible components in the specified target container   ,preferredLayoutSize
indicates whether or not scrolling will take place in response to the mouse wheel   ,isWheelScrollingEnabled
returns the distance between two points   ,distance
returns the applet ' s context   ,getAppletContext
returns the alignment of this graphic attribute   ,getAlignment
sets the vertical gap between components and between the components and the borders of the container   ,setVgap
creates a scaled version of this image   ,getScaledInstance
"writes a double value , which is comprised of eight bytes , to the output stream   ",writeDouble
writes a string to the underlying output stream using modified utf - 8 encoding in a machine - independent manner   ,writeUtf
