Functional Description,Method Name
"returns the first event with the specified id , if any   ",peekEvent
"stores the bounds of this component into "" return value "" rv and return rv   ",getBounds
specifies the desired cross feed and feed print resolutions in dots per inch for pages using these attributes   ,setPrinterResolution
returns the width of the bounding rectangle in double precision   ,getWidth
get the background color of this object   ,getBackground
reports whether or not this class is a delegate of another   ,isDelegated
sets the locale of this bean context   ,setLocale
returns whether or not the alt graph modifier is down on this event   ,isAltGraphDown
returns a boolean indicating whether or not this shaper shapes contextually   ,isContextual
"returns a shape enclosing the visual selection in the specified range , extended to the bounds   ",getVisualHighlightShape
returns true if the data flavor specified represents a serialized object   ,isFlavorSerializedObjectType
returns the green component in the range 0 - 255 in the default srgb space   ,getGreen
"adjusts the x , y , width , and height fields to the correct values depending on the constraint geometry and pads   ",adjustForGravity
"determines the preferred size of the target container using this layout manager , based on the components in the container   ",preferredLayoutSize
"attempted updates to "" constrained "" properties will cause a "" vetoable change "" event to get fired when the property is changed   ",setConstrained
"returns a float array containing only the color components of the color , in the default srgb color space   ",getRgbcOlorComponents
creates the scroll pane ' s peer   ,addNotify
adds the specified component with the specified name to the layout   ,addLayoutComponent
returns the visual bounds of this glyph vector the visual bounds is the bounding box of the outline of this glyph vector   ,getVisualBounds
sets the named desktop property to the specified value and fires a property change event to notify any listeners that the value has changed   ,setDesktopProperty
returns a string representing the state of this menu item   ,paramString
creates this toolkit ' s implementation of popup menu using the specified peer interface   ,createPopupMenu
see the general contract of the read long method of data input   ,readLong
returns an array of point objects indicating which tiles are checked out for writing   ,getWritableTileIndices
returns the end point2d of this line2d   ,getP2
sets whether this window should always be above other windows   ,setAlwaysOnTop
invoked when a window is in the process of being closed   ,windowClosing
a convenience method to return a parameter as a char   ,getCharParameter
checks to see if the font has uniform line metrics   ,hasUniformLineMetrics
returns an enum indicating how the baseline of the component changes as the size changes   ,getBaselineResizeBehavior
adds a point to the path by drawing a straight line from the current coordinates to the new specified coordinates specified in double precision   ,lineTo
calls drag enter on the registered drop target listener and passes it the specified drop target drag event   ,dragEnter
returns the hashcode for this stroke   ,hashCode
sets the echo character for this text field   ,setEchoChar
reports whether or not a given service is currently available from this context   ,hasService
deprecated see graphics environment get available font family names   ,getFontList
gets the font metrics for the specified font   ,getFontMetrics
this method returns the target drop action   ,getTargetActions
"returns a path enclosing the visual selection in the specified range , extended to bounds   ",getVisualHighlightShape
