Functional Description,Method Name
"objects that implement this interface , shall fire a java beans property change event , with parameters : property name "" bean context "" , old value the previous nesting bean context instance , or null , new value the current nesting bean context instance , or null   ",setBeanContext
returns the number of pages in this book   ,getNumberOfPages
adds a scaled image to the list of images being tracked by this media tracker   ,addImage
listeners registered on the component by this recognizer shall record all events that are recognized as part of the series of events that go to comprise a drag and drop initiating gesture via this api   ,appendEvent
gets the cursor of this object   ,getCursor
returns an array of all the action listeners registered on this list   ,getActionListeners
"creates a data buffer that corresponds to this banded sample model , the data buffer ' s data type , number of banks , and size will be consistent with this banded sample model   ",createDataBuffer
indicates whether this frame is resizable by the user   ,isResizable
removes a key event dispatcher which was previously added to this keyboard focus manager ' s dispatcher chain   ,removeKeyEventDispatcher
returns the width of the buffered image   ,getWidth
"the "" expert "" flag is used to distinguish between those features that are intended for expert users from those that are intended for normal users   ",isExpert
returns a high precision and more accurate bounding box of the shape than the get bounds method   ,getBounds2D
gets the owner of this decoder   ,getOwner
"makes an attempt to skip over n bytes of data from the input stream , discarding the skipped bytes   ",skipBytes
returns a string representation of this robot   ,toString
deny knowledge of a default property   ,getDefaultPropertyIndex
removes a property change listener from this bean context child so that it no longer receives property change events when the specified property is changed   ,removePropertyChangeListener
specifies the file name for the output file for jobs using these attributes   ,setFileName
gets the number of components in this panel   ,getComponentCount
invoked when a window is iconified   ,windowIconified
adds a property change listener to the listener list for a specific property   ,addPropertyChangeListener
gets the items in the list   ,getItems
returns an array of all the component listeners registered on this component   ,getComponentListeners
gets the owner of this encoder   ,getOwner
gets the accessible context associated with this applet   ,getAccessibleContext
returns the current position of this line break measurer   ,getPosition
sets the location of the end points and control point of this quad curve2d to the same as those in the specified quad curve2d   ,setCurve
gets the accessible context associated with this scrollbar   ,getAccessibleContext
returns a tentative value for old instance in the environment created by this stream   ,get
specifies the minimum value the user can specify as the first page to be printed for jobs using these attributes   ,setMinPage
