Method	Functional Description
getName	获取样式的名称。
setNCharacterStream	将此 
               RowSet对象命令中的指定参数设置为 
               Reader对象。
addNamingListener	添加一个侦听器，用于接收在搜索过滤器 
               filter标识的对象和由字符串目标名称指定的对象上的过滤器参数被修改时触发的命名事件。
writeBinaryStream	将下一个属性作为未解释字节流写入流中。
executeLargeUpdate	执行在该SQL语句PreparedStatement对象，它必须是一个SQL数据操纵语言（DML）语句，比如INSERT ， UPDATE或DELETE ;
或者不返回任何内容的SQL语句，例如DDL语句。
windowStateChanged	窗口状态更改时调用。
pollFirst	检索并删除此双端队列的第一个元素，如果元素可用，则等待指定的等待时间。
getPrefix	获取当前作用域中名称空间URI的前缀绑定。
isSelected	如果选择模型当前具有选定值，则返回true。
parameterNoNulls	该常量指示参数不允许 
               NULL值。
serialVersionUID	设置为指示自J2SE 1.4以来的序列化兼容性的类指纹。
run	将此Future设置为其计算结果，除非它已被取消。
setCatalogName	将指定列的表的目录名（如果有）设置为给定的 
               String 。
pollLast	检索并删除此双端队列的最后一个元素，如果此双端队列为空，则返回 
               null 。
removeChangeListener	从滑块中移除变更监听器
menuDeselected	取消选择菜单时调用。
addConsumer	为了在稍后重建图像时访问图像数据，向图像生产者注册一个图像消费者
removeStyle	删除先前添加到文档中的命名样式。
plus	返回此期间的副本，并添加指定的期间。
createCompatibleSampleModel	创建一个具有指定宽度和高度的样本模型，其数据布局与此颜色模型兼容
getReceiverType	返回此可执行文件的接收方类型，如果可执行文件没有接收方类型，则返回NoType ，类型为NONE 。
directSupertypes	返回类型的直接超类型。
getElementAt	返回指定索引处的值。
contains	测试一个类型参数是否 
               包含另一个。
visitModule	访问模块元素。
getPixel	返回指定像素的所有样本的int数组，每个数组元素一个样本
matches	告知给定路径是否匹配此匹配器的模式。
addItemListener	添加侦听器以在用户更改项目状态时接收项目事件。
equals	将此形状图形属性与指定对象进行比较
getDataElement	给定一个未归一化的颜色/alpha组分数组，在此颜色模型中以int表示的像素值
getCurrentNode	TreeWalker当前所在的节点。
get	绝对 
               获取方法。
setWantsInput	创建并返回一个新的JDialog，将此包装并置于父组件的中心，在父组件的框架内
getAccessibleRowCount	返回表中的行数。
getXmlEncoding	作为 
               XML declaration的一部分指定此文档的编码的属性。
stateChanged	当微调器的模型状态改变时调用此方法
getSpecified	True如果在实例文档中显式指定了此属性， 
               false 。
setSelectionForeground	设置选中单元格的前景色
icSigSpace6CLR	ICC配置文件颜色空间类型签名：'6CLR'。
hyperlinkUpdate	更新超文本链接时调用。
paramString	返回此表的字符串表示
getSystemId	如果指定，则与实体关联的系统标识符，否则为 
               null 。
getRowForPath	返回显示由指定路径标识的节点的行
eventDispatched	在AWT中调度事件时调用。
getMouseListener	返回将添加到组合框的鼠标侦听器或null。
setRootVisible	确定树模型的根节点是否可见
getAccessibleSummary	返回表的摘要描述。
comparingInt	接受从类型 
               T中提取 
               int排序键的 
               T ，并返回按该排序键进行比较的 
               Comparator<T> 。
icSigSpace4CLR	ICC配置文件颜色空间类型签名：'4CLR'。
getDisplayName	获取此年表的文本表示。
setClob	将指定参数设置为 
               Reader对象。
evaluate	在指定的上下文中计算已编译的XPath表达式，并将结果作为指定的类型返回。
arrayOffset	返回此缓冲区缓冲区第一个元素的后备数组中的偏移量 
               （可选操作） 。
getGenericElement	返回由此类型参数参数化的泛型类，接口，方法或构造函数。
getCharacterStream	以Java编程语言中 
               java.io.Reader对象的形式检索指定参数的值。
createContentHandler	创建一个新的 
               ContentHandler以从 
               URLStreamHandler读取对象。
translate	将graphics2d上下文的原点转换到当前坐标系中的点(x, y)
editorBorderInsets	边界插入。
getText	以字符串形式返回parse事件的当前值，返回CHARACTERS事件的字符串值，返回COMMENT的值，ENTITY_REFERENCE的替换值，CDATA节的字符串值，SPACE的字符串值event，或DTD内部子集的String值。
getUpdateSelectionOnSort	如果排序后应更新选择，则返回true
floorEntry	返回与小于或等于给定键的最大键关联的键 - 值映射，如果没有此键，则 
               null 。
getService	BeanContextChild或与 
               BeanContextChild关联的任意对象可以通过调用此方法从其嵌套 
               BeanContextServices获取对当前已注册服务的引用。
hashCode	此日期时间的哈希码。
procedureColumnReturn	表示该列存储返回值。
getProgram	获取此频道的当前节目编号。
getString	检索JDBC的价值 
               CHAR ， 
               VARCHAR ，或 
               LONGVARCHAR参数为 
               String的Java编程语言。
setBlob	将指定参数设置为 
               InputStream对象。
getAvailableChronologies	返回可用的年表。
thenComparing	返回一个字典顺序比较器，其中包含一个函数，该函数提取要与给定 
               Comparator进行比较的键。
ignorableWhitespace	接收元素内容中可忽略空白的通知。
write	将一个字节序列写入当前位置的流。
popupMenuWillBecomeInvisible	在弹出菜单变为不可见之前调用此方法请注意，JPopupMenu可以随时变为不可见
equals	将此形状图形属性与指定的形状图形属性进行比较
size	返回此双端队列中的元素数。
isFixedOffset	区域规则的检查是固定的，因此偏移量不会变化。
insertData	以指定的16位单位偏移量插入字符串。
getNoType	返回在没有实际类型的情况下使用的伪类型。
getScreenX	事件发生的水平坐标，相对于屏幕坐标系的原点。
hasArray	判断此缓冲区是否由可访问的长数组支持。
menuKeyReleased	释放密钥时调用。
getStepSize	返回get next value和get previous value方法计算的值更改的大小
setSelectionPath	选择由指定路径标识的节点
run	运行该工具的实例，为成功运行返回零。
hasTileWriters	返回是否有任何瓦片被借出进行写入
getAlphaMask	返回一个掩码，指示整数像素表示中哪些位包含alpha组件
spliterator	在此有序集中的元素上创建 
               Spliterator 。
getOptionType	返回显示的选项类型
getName	返回集合中的 
               index名称项。
typePredChar	表示数据类型只能用于使用 
               LIKE谓词的 
               WHERE搜索子句中。
setValue	指定要显示的值以及是否应将该值描绘为“当前选定”。
getLineOfOffset	将组件文本中的偏移量转换为行号
getEditorComponent	返回应添加到此编辑器的树层次结构中的组件
flush	刷新流。
writeEmptyElement	将空元素标记写入输出
setLastDividerLocation	将分隔符的最后位置设置为新的最后位置
slice	创建一个新缓冲区，其内容是此缓冲区内容的共享子序列。
getPublicId	如果指定，则与实体关联的公共标识符，否则为 
               null 。
getResource	返回用于读取现有资源的对象。
getLocale	如果没有区域设置生效，则返回当前区域设置或 
               null 。
group	返回上一个匹配项匹配的输入子序列。
apply	将此函数应用于给定的参数。
changeSelection	设置索引处的选项卡是否启用
setByte	将指定参数设置为给定的Java 
               byte值。
getNames	返回短名称的不可变列表 
               ScriptEngine ，可用于识别 
               ScriptEngine由 
               ScriptEngineManager 。
copyData	计算RenderedImage的任意矩形区域并将其复制到调用者提供的WritableRaster中。
makeComponentInputMap	从键创建组件输入映射UI资源
getType	按索引查找属性的类型。
removeInvalidComponent	从无效组件列表中移除组件
invalidateLayout	指示子项已更改其布局相关信息，导致任何缓存的计算被清除
addActionForKeyStroke	添加绑定到键映射。
pollEvents	检索并删除此监视键的所有挂起事件，返回已检索事件的 
               List 。
getEncoding	字符编码，如果已知。
getSample	以int形式返回位于x,y处像素的指定波段中的样本
getElementUtils	返回一些用于操作元素的实用方法的实现
addAttribute	创建一个与此类似的新属性集，但它包含具有给定名称和值的属性。
add	向输出流添加事件添加START_ELEMENT将打开一个新的命名空间范围，该范围将在写入相应的END_ELEMENT时关闭。
getOptions	返回传递给注释处理工具的特定于处理器的选项。
importNode	将节点从另一个文档导入到此文档，而不从原始文档中更改或删除源节点;
此方法创建源节点的新副本。
isGap	这种转变是否代表了当地时间线的差距。
addLast	如果可以在不违反容量限制的情况下立即插入指定元素，则在此双端队列的末尾插入指定元素，如果当前没有可用空间，则抛出 
               IllegalStateException 。
writeBit	将由参数的最低有效位给出的单个位写入当前字节位置内当前位偏移的流。
getReferrals	检索服务器发送的引用。
replaceData	用指定的字符串替换从指定的16位单位偏移量开始的字符。
removeAdjustmentListener	移除一个调整事件监听器
isVisible	如果路径标识的值当前可见，则返回true，这意味着它要么是根，要么它的所有父节点都已展开
getAccessibleColumnDescription	返回表中指定列的描述文本。
getExtensions	返回文件扩展名的不可变列表，通常标识以此 
               ScriptEngine支持的语言编写的脚本。
sequential	返回顺序的等效流。
hashCode	计算此路径的哈希码。
getReaderForText	获得一个读取器，用于从该doc中提取字符打印数据。
setSelectedIndex	设置此TabbedPane的选中索引
addAll	将指定集中的所有元素添加到此属性。
getHorizontalVisibility	获取文本字段的可见性
createConnectionBuilder	创建一个新的 
               ConnectionBuilder实例
getCertificateChain	返回与给定别名关联的证书链。
isCellEditable	如果row和column处的单元格可编辑，则返回true
toArray	以适当的顺序返回包含此列表中所有元素的数组（从第一个元素到最后一个元素）;
返回数组的运行时类型是指定数组的运行时类型。
paramString	返回此JTabbedPane的字符串表示
getMinX	返回RenderedImage的最小X坐标（包括）。
take	检索并删除此队列的头部，必要时等待，直到元素可用。
adjustmentValueChanged	调整值的值发生变化时调用。
getName	DTD的名称;
即紧跟在DOCTYPE关键字后面的名称。
readNClob	从流中读取SQL 
               NCLOB值并将其作为Java编程语言中的 
               NClob对象返回。
setColumnType	将指定列的SQL类型设置为给定的类型。
schedule	提交一个返回值的一次性任务，该任务在给定的延迟后变为启用状态。
getSeparatorSize	返回分隔符的尺寸
write	从给定缓冲区向该通道写入一个字节序列。
rangeRefinedBy	使用temporal对象获取此字段的有效值范围以优化结果。
isSupported	检查是否支持指定的字段。
removeColumn	从 
               tableColumns数组中删除 
               TableColumn
column 。
getLong	以Java编程语言中 
               long检索指定的JDBC 
               BIGINT参数的值。
paintChildren	子类化以在super被消息化之后消息化UI以完成绘制子项，以及绘制边框
arrayOffset	返回此缓冲区缓冲区第一个元素的后备数组中的偏移量 
               （可选操作） 。
processKeyEvent	当菜单元素从键盘监听器接收事件时，它永远不应直接处理事件
getSelectedAccessibleColumns	返回表中的选定列。
equals	检查此月 - 日是否等于另一个月 - 日。
isOutputLocation	确定这是否是输出位置。
setEchoChar	为此JPasswordField设置回显字符
getNextElementSibling	返回对元素的兄弟节点的引用，该节点最紧跟在文档顺序中的元素之后，并且是Element类型的元素 。
invoke	处理代理实例上的方法调用并返回结果。
rowChanged	通知已注册的侦听器 
               RowSet对象的某一行已发生更改。
getLocation	返回此活动的位置。
readShort	读取两个输入字节并返回 
               short值。
remove	检索并删除此队列的头部。
getAttributes	生成此 
               Struct对象表示的SQL结构类型的属性的有序值。
comboBox	JComboBox的实例。
setValue	在检索时，属性的值以字符串形式返回。
invoke	处理代理实例上的方法调用并返回结果。
addStyle	在逻辑样式层次结构中添加新样式。
readLine	从输入流中读取下一行文本。
getMinorVersion	获取驱动程序的次要版本号。
append	将指定字符序列的子序列追加到此 
               Appendable 。
drainTo	从此队列中删除所有可用元素，并将它们添加到给定集合中。
withMonth	返回此 
               ZonedDateTime的副本，其中年份已更改。
setLogWriter	将此 
               DataSource对象的日志 
               DataSource设置为给定的 
               java.io.PrintWriter对象。
headSet	返回此set的部分视图，其元素严格小于 
               toElement 。
ancestorResized	调整源的祖先的大小时调用。
putChar	用于写入char值的绝对 
               put方法 
               （可选操作） 。
getLength	列表中的节点数。
add	向输出流添加事件添加START_ELEMENT将打开一个新的命名空间范围，该范围将在写入相应的END_ELEMENT时关闭。
minimumLayoutSize	在给定组件包含的组件的情况下，计算指定容器的最小大小尺寸。
getMaximumAccessibleValue	获取此对象的最大可访问值
plusDays	返回此 
               ZonedDateTime的副本，并添加指定的天数。
getSystemId	实体的系统标识符。
duplicate	创建一个共享此缓冲区内容的新双缓冲区。
createShardingKeyBuilder	创建一个新的 
               ShardingKeyBuilder实例
of	返回包含四个元素的不可修改列表。
setValueAt	将单元格中的值设置为 
               columnIndex ，将 
               rowIndex为 
               aValue 。
getGraphics	此方法返回一个graphics2d，但是为了向后兼容
setObject	设置要自定义的对象。
showInternalConfirmDialog	返回在消息中放置的最大字符数
unparsedEntityDecl	接收未解析的实体声明事件的通知。
functionNoTable	表示该函数未返回表。
setHorizontalScrollBarPolicy	确定水平滚动条何时出现在滚动面板中
thenAcceptAsync	返回一个新的CompletionStage，当该阶段正常完成时，使用此阶段的默认异步执行工具执行，该阶段的结果作为所提供操作的参数。
setValueIsAdjusting	此属性表示对模型值的任何即将发生的更改都应视为单个事件。
setCharacterStream	将此 
               RowSet对象命令中的指定参数设置为给定的 
               Reader对象。
removeAttributes	删除使用给定 
               names设置的属性。
writeSQL	将此对象写入给定的SQL数据流，将其转换回数据源中的SQL值。
getServiceUIFactory	返回UI组件的工厂，允许用户以各种角色与服务进行交互。
getOutputStream	已过时。

没有替代品
getOwnerType	返回表示此类型所属类型的 
               Type对象。
setNClob	将指定参数设置为 
               java.sql.NClob对象。
setStart	更改此序列中日期的下限
createDialog	创建并返回一个无父组件的新JDialog，并指定标题
getString	获取指定的JDBC的价值 
               CHAR ， 
               VARCHAR ，或 
               LONGVARCHAR参数为 
               String的Java编程语言。
substringData	从节点中提取一系列数据。
getStartOffset	从此元素开头的文档开头获取偏移量。
setInvoker	设置此弹出菜单的调用者，即弹出菜单要显示的组件
setAsciiStream	检索用于将Ascii字符写入此 
               Clob对象表示的 
               CLOB值的流，从位置 
               pos开始。
ancestorMoved	移动源的祖先时调用。
icSigLuminanceTag	ICC Profile Tag签名：'lumi'。
iterator	返回 
               T类型的元素的迭代器。
getResultSet	检索包含从索引 
               index开始并且包含最多 
               count连续元素的子 
               index元素的结果集。
appRaisedToForeground	当应用程序成为前台应用程序时调用。
getKind	返回此类型的 
               kind 。
getState	获取此框架的状态（已废弃）
removeChangeListener	从模型的侦听器列表中删除ChangeListener。
isEditable	如果树是可编辑的，则返回true
drawOval	绘制椭圆的轮廓
icSigSpace2CLR	ICC配置文件颜色空间类型签名：'2CLR'。
setColorModel	设置用于报告使用set pixels方法调用的大多数像素的颜色模型对象
getPreferredScrollableViewportSize	返回视图组件的视口的首选大小。
setBigDecimal	将此 
               RowSet对象命令中的指定参数设置为给定的 
               java.math.BigDecimal值。
visitChar	访问注释中的 
               char值。
adoptNode	尝试从另一个文档中采用节点到此文档。
setAsciiStream	将此 
               RowSet对象命令中的指定参数设置为给定的 
               java.io.InputStream值。
createEntityReference	创建一个 
               EntityReference对象。
getInstance	返回布局样式的共享实例
setDouble	将此 
               RowSet对象命令中的指定参数设置为给定的Java 
               double值。
decreaseButton	减少按钮。
user	指定创建连接时要使用的用户名
getMonth	使用 
               Month枚举获取年份字段。
getCursor	获取此对象的光标。
getDesignAxisRanges	以交错形式返回每个轴的设计限制数组
getPoint2D	给定源Raster中的一个点返回目标点的位置。
element	检索但不删除此双端队列表示的队列的头部（换句话说，此双端队列的第一个元素）。
entries	不推荐使用，要删除：此API元素将在以后的版本中删除。
getValueIsAdjusting	如果对value属性的当前更改是一系列更改的一部分，则返回true。
getExpandEntityReferences	此标志的值确定实体引用节点的子节点是否对 
               TreeWalker可见。
of	返回包含九个元素的不可修改集。
getLoginTimeout	获取此数据源在尝试连接到数据库时可以等待的最长时间（以秒为单位）。
setSigned	设置指定列是否为带符号的数字。
add	向正在构建的流添加元素。
sqlStateXOpen	该方法一个可能的返回值 
               DatabaseMetaData.getSQLStateType ，其用于指示该方法返回的值是否 
               SQLException.getSQLState是X /打开（现在知道的公开组）SQL CLI SQLSTATE值。
filter	在 
               BufferedImage上执行单输入/单输出操作。
setPrecision	将指定列的小数位数设置为给定的 
               int 。
selectColor	所选按钮的颜色。
getFloat	用于读取浮点值的相对 
               get方法。
typeNullableUnknown	表示不知道此数据类型是否允许 
               NULL值。
columnMoved	跟踪列重新定位的变化
requestTopDownLeftRightResend	代表 
               ImageConsumer请求 
               ImageProducer尝试以TOPDOWNLEFTRIGHT顺序再次重新发送图像数据，以便可以使用依赖于按顺序接收像素的更高质量的转换算法来产生更好的图像输出版本。
getSnapToTicks	如果旋钮和它代表的数据值解析为用户定位的旋钮旁边的最近刻度标记，则返回true
icHdrPcs	ICC配置文件标题位置：PCS - 仅限XYZ或Lab。
writeAttribute	将属性写入输出流而不带前缀。
exceptionThrown	捕获可恢复的异常时调用此方法。
parse	从文本字符串（如 
               --12-03获取 
               MonthDay的实例。
setData	将图像的一个矩形区域设置为指定栅格r的内容，假定r与缓冲图像在同一坐标空间内
setElemFloat	在指定银行中设置给定浮点数的请求数据数组元素
getXAResource	检索一个 
               XAResource对象，事务管理器将使用管理这个 
               XAConnection在分布式事务对象的参与。
iterator	返回此集合中元素的迭代器。
evaluate	在指定的上下文中计算已编译的XPath表达式，并将结果作为 
               String返回。
setResolveParent	设置父键映射，用于解析键绑定。
getMark	获取标记的当前位置。
flavorsChanged	当侦听器的目标Clipboard更改其可用的DataFlavor时调用。
add	将指定的元素插入此双端队列表示的队列中（换句话说，在此双端队列的尾部），如果它是立即可行且不会违反容量限制，返回 
               true成功时和抛出 
               IllegalStateException如果当前没有空间可用的。
inputMethodTextChanged	通过输入方法输入的文本发生更改时调用。
isCellSelected	如果指定的索引在行和列的有效范围内，并且指定位置的单元格被选中，则返回true
hasTileWriters	返回是否签出任何图块以进行写入。
setMinorTickSpacing	此方法设置小刻度间距
getValueCount	返回条目中的值数量
removeFocusListener	删除指定的焦点侦听器，以便它不再从此组件接收焦点事件。
isRetransformClassesSupported	返回当前JVM配置是否支持类的重新转换。
getValue	通过XML限定（加前缀）名称查找属性的值。
getUnits	获取此句点支持的单位集。
getNotationName	对于未解析的实体，实体的表示法的名称。
getWaitingConsumerCount	返回通过 
               BlockingQueue.take()或定时 
               poll等待接收元素的消费者数量的估计值。
setActionCommand	设置触发按钮时作为 
               ActionEvent一部分发送的操作命令字符串。
visitVariable	访问变量元素。
handshakeCompleted	SSL握手完成后，在已注册的对象上调用此方法。
isLeapYear	检查指定年份是否为闰年。
slice	创建一个新的长缓冲区，其内容是此缓冲区内容的共享子序列。
getCookies	获取cookie商店中所有未过期的cookie。
slice	创建一个新的char缓冲区，其内容是此缓冲区内容的共享子序列。
verify	验证主机名是否与服务器的身份验证方案匹配。
toArray	返回包含此集合中所有元素的数组，使用提供的 
               generator函数分配返回的数组。
put	相对 
               put方法 
               （可选操作） 。
setCharacterStream	语言和绑定依赖类型的属性，表示可以输出16位单元的可写流。
getMouseListener	返回将添加到组合框的鼠标侦听器或null。
get	获取此年份中指定字段的值，作为 
               int 。
hashCode	返回此缓冲区的当前哈希码。
setTitle	将这个框架的标题设置为指定的字符串
getUri	此定位器指向的URI，如果没有可用的URI， 
               null 。
clearParameters	清除为此 
               RowSet对象命令设置的参数。
setIntercellSpacing	设置行边距和列边距（单元格之间的高度和宽度）到单元格间距
getValue	返回指定索引处的值
minBy	返回BinaryOperator ，它根据指定的Comparator返回两个元素中较小的Comparator 。
hide	隐藏并处置弹出窗口
getServicesBeanInfo	获取 
               BeanInfo数组，该数组用于此ServiceProvider中静态可用的每个服务类或接口。
uis	包含真实UI的向量。
icSigLabData	ICC配置文件颜色空间类型签名：'实验室'。
treeWillCollapse	每当树中的节点即将折叠时调用。
setBoolean	将指定参数设置为给定的Java 
               boolean值。
getKeyStroke	不推荐使用，使用getKeyStroke(char)
getTime	检索JDBC的值 
               TIME参数作为 
               java.sql.Time对象，使用给定 
               Calendar对象构造时间。
getJavaInitializationString	返回可用于设置属性以匹配编辑器当前状态的Java代码片段。
createXMLReader	已过时。
setHints	检测数据是否以允许平均算法工作所需的提示进行传递
disabledTextColor	禁用文本的颜色。
truncate	截断此 
               Clob指定的 
               CLOB值，其长度为 
               len字符。
charAt	返回指定索引处的 
               char值。
toStackTraceElement	获取此堆栈帧的 
               StackTraceElement 。
equals	检查此日期是否等于另一个日期，包括年表。
addAll	将指定集中的所有元素添加到此属性。
statementErrorOccurred	当驱动程序检测到 
               PreparedStatement无效时，会在连接上注册的所有 
               StatementEventListener上调用此方法。
setSearchable	设置是否可以在where子句中使用指定的列。
isBefore	检查此日期是否在指定日期之前，忽略年表。
setSelectionModel	将此表的行选择模型设置为新模型，并注册新选择模型的监听器通知
setScrollMode	用于控制滚动视口内容的方法
getObject	以Java编程语言中 
               Object检索指定参数的值。
readData	读取调用 
               RowSet对象的新内容。
getAccessibleSelectionCount	返回当前选中的 
               Accessible的数量。
getContentPane	返回此窗口的内容面板容器
setNull	将此 
               RowSet对象的SQL命令中的指定参数设置为SQL 
               NULL 。
remove	从窗格中移除子组件component
getBinaryStream	以流的 
               BLOB检索此 
               Blob实例指定的 
               BLOB值。
createDefaultTableHeader	获取表格单元渲染器组件
borderInsets	边界插入。
minus	返回此期间的副本，并减去指定的期间。
revokeService	希望从此上下文中删除当前已注册服务的BeanContextServiceProviders可以通过调用此方法来执行此操作。
icHdrFlags	ICC配置文件头位置：各种位设置。
readFully	读取 
               len从根据当前字节顺序的流整数（带符号的32位整数），并将其存储到 
               i开始于索引 
               off 。
setItem	设置应编辑的项目。
offerLast	在此双端队列的末尾插入指定的元素，如果需要空间可用，则等待指定的等待时间。
addActionListener	将 
               ActionListener添加到模型中。
addCellEditorListener	向编辑器停止时通知的列表添加侦听器，或取消编辑。
getCursorType	自JDK版本1.1起已弃用，由组件get cursor替代
ceilingKey	返回大于或等于给定键的 
               null键，如果没有这样的键，则 
               null 。
setRangeProperties	此方法使用单个方法调用设置所有模型的数据。
icAbsoluteColorimetric	ICC配置文件渲染意图：AbsoluteColorimetric。
preVisitDirectory	在访问目录中的条目之前为目录调用。
accept	对给定的参数执行此操作。
getElementsByTagNameNS	返回 
               NodeList的所有 
               Elements具有给定本地名称和命名空间URI在文档顺序。
password	指定创建连接时要使用的密码
getEventType	返回一个整数代码，指示光标指向的事件的类型。
item	返回集合中的 
               index项。
treeNodesRemoved	从树中删除节点后调用。
remove	从列表中删除 
               next()或 
               previous() （可选操作）返回的最后一个元素。
bestRowSession	指示最佳行标识符的范围是当前会话的剩余部分。
popupMenuCanceled	取消弹出菜单时会调用此方法
getUicLassId	返回此组件的外观和感觉类的名称
or	返回一个组合谓词，表示此谓词与另一个谓词的短路逻辑OR。
addPrintServiceAttributeListener	在此 
               PrintService上注册事件的监听 
               PrintService 。
getBankData	返回所有银行的数据数组
setString	将此 
               RowSet对象命令中的指定参数设置为给定的Java 
               String值。
slice	创建一个新缓冲区，其内容是此缓冲区内容的共享子序列。
setDouble	将指定参数设置为给定的Java 
               double值。
getCharIndex	返回插入索引
getMinimumSize	滚动条沿其滚动轴是灵活的，沿另一个轴是刚性的
accept	向正在构建的流添加元素。
paramString	返回此JScrollPane的字符串表示
writeStartElement	将开始标记写入输出
createInputMethodWindow	为输入法创建顶级窗口供输入法使用
windowOpened	第一次使窗口可见时调用。
removeChangeListener	删除 
               侦听器作为模型中更改的侦听器。
isFixedRowHeight	如果每个显示行的高度是固定大小，则返回true
getContentPane	返回contentPane。
isSelected	如果选择模型当前具有选定值，则返回true。
unconfigureEnclosingScrollPane	通过将封闭滚动窗格的列头视图替换为null，来逆转configureEnclosingScrollPane的效果
getPublicId	返回当前文档事件的公共标识符。
writeInt	将 
               int值写入输出流，该值由四个字节组成。
failure	当RMI运行时无法通过 
               RMISocketFactory创建 
               ServerSocket时，将调用 
               failure回调。
unloadInstrument	卸载特定的乐器。
ofInstant	从 
               Instant获得 
               ZonedDateTime的实例。
icSigRedColorantTag	ICC配置文件标记签名：'rXYZ'。
createCompatibleVolatileImage	返回与此图形配置兼容的数据布局和颜色模型的易失图像
add	如果指定的属性值尚不存在，则将其添加到此属性集中，首先删除与指定属性值相同的属性类别中的任何现有值（可选操作）。
getNamedItemNS	检索由本地名称和名称空间URI指定的节点。
columnRemoved	告诉侦听器已从模型中删除了一列。
getAdvance	返回此形状图形属性的前进宽度
getBorderInsets	返回边框的insets。
clearSelection	清除选择
getMaxAscent	确定此字体度量对象描述的字体的最大上升
getMnemonic	获取按钮的键盘助记符。
setTime	使用给定的 
               java.sql.Time值设置此 
               RowSet对象命令中的指定参数。
ceiling	返回此set中大于或等于给定元素的 
               null元素，如果没有这样的元素，则 
               null 。
getRedoPresentationName	返回此编辑的可重做形式的本地化，人类可读的描述，例如，适合用作重做菜单项。
equals	如果指定的对象是数字整形器的实例且与此数字整形器以相同的方式整形，则返回true，不论范围表示、位掩码或枚举如何
getTextRange	返回两个索引之间的文本字符串。
get	获取结果。
getAttributeCount	返回此START_ELEMENT上的属性计数，此方法仅在START_ELEMENT或ATTRIBUTE上有效。
icSigScreeningTag	ICC配置文件标记签名：'scrn'。
characters	已过时。
focusLost	组件失去键盘焦点时调用。
showInternalMessageDialog	返回用户选择的值
release	释放一个字节缓冲区。
popupMenuCanceled	取消弹出菜单时会调用此方法
getVendor	获得 
               string命名提供音库的公司。
size	返回结果中的项数
equals	将指定对象与此列表进行比较以获得相等性。
compose	返回首先将 
               before运算符应用于其输入的 
               before运算符，然后将此运算符应用于结果。
isIgnorableWhiteSpace	如果这是可忽略的白色空间，则返回true。
close	表示应用程序已完成使用变送器，并且可能会释放或提供所需的有限资源。
setAttributeNode	添加新属性节点。
writeData	将此 
               RowSetWriter对象的行 
               RowSetWriter的更改写回到从中获取其数据的数据源。
newInstance	激活器调用实例化器的 
               newInstance方法，以便在该组中重新创建具有激活标识符 
               id和描述符 
               desc 。
load	将此缓冲区的内容加载到物理内存中。
send	向此接收器发送MIDI消息和时间戳。
serialClass	被反序列化的对象的类。
removePermission	不推荐使用，要删除：此API元素将在以后的版本中删除。
tryAdvance	如果存在剩余元素，则对其执行给定操作，返回true ;
否则返回false 。
removeUpdate	提供已删除文档的一部分的通知。
getByte	检索JDBC的价值 
               TINYINT参数为 
               byte的Java编程语言。
setShowsRootHandles	设置显示根句柄属性的值，该属性指定是否应显示节点句柄
isValidateRoot	来自文本字段本身的revalidate调用将通过验证文本字段来处理，除非文本字段包含在JViewport中，在这种情况下此方法返回false
thumbnailPassComplete	报告当前缩略图读取操作已完成渐进式传递。
getDataElement	给定一个归一化的颜色/alpha组分数组，在此颜色模型中以int表示的像素值
getInt	读取int值的相对 
               get方法。
compare	比较它的两个参数的顺序。
readChar	等效于 
               readUnsignedShort ，但使用 
               char数据类型返回结果除外。
removeAll	从分割窗格中移除所有子组件
icSigMediaWhitePointTag	ICC配置文件标记签名：'wtpt'。
array	返回支持此缓冲区的short数组 
               （可选操作） 。
asElement	返回与此类型变量对应的元素。
visit	访问元素。
getLogWriter	检索此 
               DataSource对象的日志 
               DataSource 。
uis	包含真实UI的向量。
build	返回此构建器定义的对象的实例。
setProperties	设置与此图像关联的可扩展属性列表
columnRemoved	跟踪表格内容变化，列删除
isDestroyed	确定此 
               Object是否已被销毁。
removeColumnModelListener	删除表列模型事件的侦听器。
functionNullable	表示允许 
               NULL值。
getMaximizedBounds	获取此框架的最大化边界
asReadOnlyBuffer	创建一个共享此缓冲区内容的新的只读int缓冲区。
isNegative	检查此期间支持的任何单位是否为负数。
submit	提交Runnable任务以执行并返回表示该任务的Future。
setSelectedItem	设置所选项目。
icSigColorantOrderTag	ICC配置文件标记签名：'clro'。
getColorModel	返回输出的 
               ColorModel 。
getGroup	返回按钮所属的组。
icHdrPcs	ICC配置文件标题位置：PCS - 仅限XYZ或Lab。
clean	取消注册可清洁并调用清洁操作。
get	返回所请求单位的值。
getImage	已过时。
getWidth	返回RenderedImage的宽度。
metalLabelUI	默认 
               MetalLabelUI实例。
put	绝对 
               放法 
               （可选操作） 。
getSystemId	此表示法的系统标识符。
remapInstrument	重新制作乐器。
listBox	JList的实例。
close	表示应用程序已完成使用接收器，并且可能会释放或提供所需的有限资源。
call	执行此文档任务。
setBytes	将此 
               RowSet对象命令中的指定参数设置为给定的 
               byte值的Java数组。
setFilter	当应用程序提供过滤器时，序列化程序将在序列化每个节点之前调用过滤器。
getBestConfiguration	返回“最佳”配置，满足在图形配置模板中定义的标准
getValue	在检索时，属性的值以字符串形式返回。
setPaintTicks	确定滑块上是否绘制刻度标记
setLogWriter	将此 
               DataSource对象的日志 
               DataSource设置为给定的 
               java.io.PrintWriter对象。
size	返回此属性集中的属性数。
transform	转换给定的类文件并返回一个新的替换类文件。
setDate	使用给定的 
